	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58
Th1 cells	0	0	0.467823333333333	0.0797066666666667	0	0	0.0435766666666667	0.000243333333333373	0	1	0	1	0	0.0439466666666667	9.99999999995449e-06	0.00325333333333333	0.105473333333333	0.2844	0.02199	0	0	0	0	0.0428233333333333	0	0.1473	0.00380333333333338	0.193273333333333	0.963586666666667	0.09085	0.0678666666666666	0	0.0112166666666667	0	0.00714999999999999	0.745503333333333	0	0.0222599999999999	0.19778	0.0301366666666667	0.02903	0	0	0.00663000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th2 cells	0.116303333333333	0.339146666666667	0.105956666666667	0.242216666666667	0.01362	0.01484	0.0420666666666667	0.0323533333333333	0.19395	1	0	0.676983333333333	0	0.00992333333333328	0.01386	0	0.240393333333333	0	0.02219	0.000110000000000054	0.000390000000000001	0.360666666666667	1	0.02948	0.418463333333333	1	0.2128	0.0194800000000001	1	0.0999433333333334	0.165223333333333	0.05087	0	1	0.00553999999999999	0	0.0215066666666667	0.02764	0.00151333333333337	0.0201966666666666	0.000703333333333278	1	0.10794	0.14948	0.0780633333333334	0.511466666666667	0.0163166666666666	0.66238	0.06941	0.725923333333333	1	0.0383333333333333	0.0729266666666667	0.347166666666667	0.573033333333333	0.27038	0.12316	0.133383333333333
Tregs	1	0.154586666666667	0	0.06596	0.0746033333333334	0.3345	0.168356666666667	0.08872	1	0	1	0	0.248063333333333	0.0509366666666666	0.350663333333333	1	0.244313333333333	0.104263333333333	0.290856666666667	0.00547333333333333	1	0.258403333333333	0.0104	0	1	0	0.0232166666666667	0	0	1	0.00172666666666665	0.0102100000000001	0.480936666666667	1	0.479456666666667	0	0.0535733333333334	0.00440333333333331	0.0450833333333334	0	0.0903166666666667	1	1	0.47659	1	1	1	0.228906666666667	0.480936666666667	1	1	0.5938	1	0.790936666666667	1	0.489893333333333	1	1
aDC	0.01591	0.0119666666666667	0	1	1	1	0.356486666666667	0.46796	1	0.962646666666667	0.00834999999999997	0	0.121976666666667	0.00162333333333331	1	0.0116066666666667	1	0.94732	0.80349	0.438443333333333	0.815913333333333	0	0	0.00162333333333331	0	5.33333333333497e-05	0.22608	0	0.00178	1	0.0118733333333333	0.00409666666666664	0.96672	0	1	1	0.0169533333333334	0.67802	1	1	1	0	0	0.07795	1	0	0.0624866666666667	0.00722999999999996	1	0.79731	1	0.00877666666666665	0	0.142223333333333	1	0	0.416753333333333	1
cDC	1	0.00466999999999995	0.000606666666666644	1	1	1	1	1	1	1	0.0325366666666667	2.33333333333752e-05	1	1	1	0.554386666666667	1	1	1	1	1	0	1	0	0.631186666666667	0.458026666666667	1	0.000380000000000047	1	1	1	1	1	0.000229999999999952	1	1	1	1	1	1	1	1	0.0427766666666667	1	1	0.0760433333333334	1	1	1	1	1	1	1	1	1	0.177226666666667	0.110993333333333	1
iDC	0.0498766666666667	0.23921	0	0.33058	0	0	1	1	7.66666666666138e-05	0.000316666666666632	0.000383333333333291	1	0.69589	0	0.708166666666667	9.66666666666338e-05	0	0	0.670816666666667	0.347926666666667	0.0315533333333333	0	0	0	0.201083333333333	0	0	0.102166666666667	0.000983333333333336	1	0.63382	1	0.0576266666666667	0.0037233333333333	0.0765366666666667	1	0.0672633333333333	0.6782	1	0	0.254353333333333	0	0	0.341343333333333	1	0	0.08411	1	0.91449	0.0448833333333334	0.894896666666667	0.873183333333333	0.178736666666667	0.428723333333333	1	0	0.470476666666667	1
ly Endothelial cells	0	0.00432333333333335	1	0	0	0	1	0	0	1	0.0894766666666666	1	0	0.213363333333333	0	0.49701	0	0	0.0605166666666667	0.28161	0	0	0.0250866666666667	0.411266666666667	0.915506666666667	1	0.08244	0	1	0.773143333333333	0.45842	0	0	0	0.0563433333333333	0	1	0	0	0	0	0	0	0	0	0	0	0.01634	0	0	0	0	0.255126666666667	0	0	0	0	0
mv Endothelial cells	0	0.0256666666666666	1	0	0	0	1	0	0	1	0	1	0	0	0	0.486396666666667	0	0.0242433333333333	0.03307	0	0	0	0	0	0	0	0	0	1	0.0242433333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
naive B-cells	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0452433333333333	1	1	0.23702	0.0365966666666667	1	0.140086666666667	0.0913666666666667	1	1	0.0435633333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pDC	1	0.618456666666667	0.60622	0.13328	0.613616666666667	1	1	0.268213333333333	1	0.0281966666666666	0.10208	0	1	0	0.520283333333333	0.06634	0.241286666666667	0	0.310236666666667	1	0.0772133333333334	0.590266666666667	1	1	1	0.79779	1	1	0.25308	1	0.0881466666666667	0.13626	1	1	0.00589333333333331	0.157443333333333	1	1	1	0.431093333333333	0.00629999999999997	0.544746666666667	1	0.290376666666667	1	1	0.524566666666667	0.287243333333333	1	1	1	0.73725	1	1	1	1	0.18771	1
pro B-cells	1	0.330813333333333	0.0661266666666667	1	1	1	0.52844	1	1	0.39886	0	0.844793333333333	0.340063333333333	0.05625	1	0.131086666666667	1	0.38073	0.598033333333333	0.00102333333333338	0.264596666666667	1	0.65201	0.119316666666667	0.221443333333333	0.125226666666667	1	0.249046666666667	0.21056	1	1	1	0.05974	1	0.531373333333333	1	0	0.147083333333333	1	1	0.213503333333333	0.29333	0.118966666666667	1	1	0.207486666666667	1	1	0.73594	1	1	0.309336666666667	0.162723333333333	1	1	0.000963333333333316	0.204733333333333	1
